,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
2842,14.2907,4623.93,34.78,0.45
7515,24.9335,4986.9,5.86,-0.15
213,12.855,4759.15,31.02,-0.11
806,15.8004,4575.19,40.88,-0.35
7144,12.2863,4892.01,15.36,0.49
6629,16.9792,4874.25,38.44,-0.07
1978,17.2426,4729.48,44.31,-0.26
4565,15.0453,4974.96,18.49,-0.34
7503,16.2469,4958.97,30.67,0.22
2696,15.6821,4820.56,32.3,0.07
7665,17.8702,4985.37,23.5,0.02
5505,16.7735,4983.77,9.49,0.36
1497,17.0852,4984.91,20.9,0.4
3564,20.4141,4671.75,43.22,-0.03
6489,15.9694,4925.84,34.11,0.13
3886,23.74,4980.74,22.48,0.18
2173,3.18799,128.714,26.78,-0.48
2838,20.3445,4955.11,30.27,-0.1
6398,23.2218,4980.1,21.1,-0.12
6349,20.9205,4985.46,18.71,-0.22
2716,3.86763,191.145,17.96,-0.15
2431,22.9153,4924.06,38.29,-0.25
2421,7.96754,1855.91,20.6,0.01
322,24.0156,4969.06,29.58,-0.26
6515,13.2405,4695.0,40.08,-0.48
2777,10.8119,3972.12,44.82,-0.28
7859,18.4588,4919.67,39.85,0.02
4859,20.2734,4983.08,23.98,0.09
6522,16.475,4957.07,27.65,-0.19
4740,17.1239,4984.44,12.57,-0.15
1916,3.37854,107.545,13.28,-0.13
7158,7.89581,1764.16,25.35,0.27
7037,20.9154,4969.43,26.49,0.15
2165,16.5687,4982.58,21.63,-0.28
5707,16.8703,4958.83,30.24,-0.39
6293,11.2607,4732.12,23.94,-0.37
6829,17.2927,4984.08,18.12,0.36
4789,23.8595,4860.04,43.42,0.05
7949,15.0358,4984.24,12.89,-0.46
196,17.6087,4954.71,28.76,0.03
4872,5.22474,597.316,30.61,0.24
6875,13.2042,4910.39,19.04,-0.12
1987,14.6933,4947.55,21.21,0.19
7597,6.98783,1234.66,21.97,0.13
5692,18.8101,4986.47,6.73,0.13
6970,19.3727,4986.58,9.85,-0.05
6975,5.64572,618.778,8.41,0.23
3870,9.15976,2639.81,5.5,0.12
4324,7.84611,1985.2,36.34,0.47
3828,22.806,4921.54,38.64,-0.46
7111,10.9374,4428.39,20.04,-0.22
7578,9.16513,2938.64,31.92,0.48
7530,15.4242,4985.18,18.66,0.11
3426,14.023,4556.91,40.12,0.49
7679,14.8075,4878.86,37.31,0.28
4414,18.3557,4909.53,39.05,-0.47
3823,5.86897,732.448,14.12,0.49
7903,6.90699,1282.11,28.33,-0.14
2041,21.5091,4976.14,23.52,0.12
5290,23.1633,4957.46,28.47,0.41
6640,24.7322,4986.72,10.48,0.49
6842,4.07918,299.908,35.46,-0.36
5074,18.4059,4985.71,6.02,-0.42
6039,15.6458,4981.97,22.91,-0.11
578,18.6915,4986.72,9.38,-0.44
2190,23.055,4987.01,8.5,0.42
5641,21.1477,4986.96,10.18,-0.08
3777,6.13892,858.251,8.04,-0.17
2603,18.2535,4896.37,37.19,0.05
338,14.1093,4707.85,43.94,0.07
563,12.861,4727.82,30.86,-0.41
6857,3.8571,194.49,6.98,-0.27
5602,6.4395,1116.79,25.95,-0.25
2736,23.0914,4883.59,42.62,0.31
5493,22.2031,4985.82,12.87,-0.42
5966,17.958,4984.94,16.57,-0.39
1309,8.55305,2798.67,25.0,-0.47
308,7.9584,1864.42,16.73,-0.09
134,13.4535,4982.64,15.36,0.29
7312,13.9618,4755.02,34.57,-0.1
6697,9.24119,2777.66,8.21,0.0
4848,9.62726,3086.49,11.31,0.42
2375,5.53641,641.372,21.03,0.19
3015,20.1223,4826.72,41.18,0.13
6924,3.4399,172.239,40.01,-0.2
2577,14.5457,4985.31,15.53,-0.17
6938,5.73563,786.939,19.81,-0.33
2645,18.3478,4715.07,41.16,0.4
6495,19.1647,4871.95,44.77,0.16
5904,13.655,4724.95,35.09,-0.01
6097,5.29234,642.061,40.11,0.01
7002,24.4712,4914.84,39.57,0.13
2617,23.7623,4987.07,11.06,0.36
13,24.3556,4916.65,36.78,-0.38
6360,23.6354,4987.09,12.47,0.21
7224,3.80302,169.467,6.97,0.48
6087,21.9261,4930.45,35.35,-0.38
5245,22.7573,4986.51,16.41,0.4
5627,21.0276,4986.35,13.66,-0.16
7911,25.2375,4856.91,39.85,-0.16
6319,19.1921,4986.94,9.32,-0.05
730,10.5392,3903.73,14.42,0.08
4422,13.0388,4940.0,19.61,-0.1
2243,14.1396,4954.76,24.51,-0.2
6824,10.1851,3841.37,32.6,0.01
7289,4.56695,340.388,14.82,0.49
3968,7.54466,1769.37,39.89,0.17
4027,15.9216,4949.56,24.75,0.2
6056,16.9012,4976.22,24.67,-0.48
2387,4.51404,360.797,21.53,-0.23
7629,18.3435,4887.53,42.22,0.13
7091,5.88408,974.226,41.71,-0.16
7902,25.8263,4731.15,44.34,-0.38
7858,4.27085,342.383,44.91,0.45
1029,8.57407,2307.64,13.86,-0.07
6741,22.424,4945.14,33.57,-0.31
2142,7.74178,1688.09,20.27,0.19
7500,22.6987,4982.11,19.98,0.44
7855,9.84218,3481.68,44.51,-0.23
3688,8.37147,2196.21,23.44,0.27
3541,15.5592,4975.78,18.66,0.07
2486,4.77727,447.387,32.26,0.24
3021,12.8572,4739.37,30.06,0.36
6878,15.4307,4775.81,32.46,0.28
5438,11.8791,4825.18,11.08,0.4
2235,21.4316,4986.73,9.06,0.02
6868,5.01802,453.817,17.46,0.4
5846,18.0071,4952.57,37.28,-0.35
1999,10.3507,3657.23,34.69,0.16
2715,21.2978,4979.16,23.01,-0.02
1109,5.37291,629.342,27.86,0.33
6143,17.5961,4980.57,15.83,0.39
5983,19.82,4986.36,14.43,-0.34
891,20.5681,4986.6,11.03,-0.19
3228,10.5359,3958.76,10.82,0.36
