,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
4107,16.4501,4985.12,6.93,0.4
1964,21.0309,4986.65,8.44,-0.21
2048,12.1998,4901.04,17.12,-0.17
1656,4.95797,516.347,36.39,0.27
1551,18.778,4967.69,23.88,0.42
2350,7.37349,1521.45,20.4,0.0
2498,19.0453,4888.51,42.15,0.04
7040,15.3689,4631.12,40.26,0.06
6793,10.3282,3840.89,36.7,-0.13
2016,23.1796,4985.36,21.05,-0.48
2085,13.9047,4465.2,42.1,0.11
7437,4.74946,479.269,35.63,-0.34
818,15.8989,4980.54,17.17,0.45
4706,20.711,4986.25,9.67,0.3
1730,16.1353,4735.9,41.62,0.26
7823,8.1207,1994.36,10.33,-0.17
2887,16.7789,4762.55,41.4,-0.3
7915,22.9676,4873.57,36.69,0.11
1150,13.3092,4962.85,15.03,0.41
7814,21.5972,4983.96,19.75,-0.44
5609,16.2154,4921.06,32.58,0.24
3599,4.53687,337.111,12.3,-0.21
1234,14.0789,4983.56,12.37,-0.03
2312,5.38289,594.794,10.08,-0.23
5738,13.9591,4981.11,11.58,0.29
5273,24.3942,4968.41,24.47,-0.49
5706,8.27208,2169.92,7.3,-0.27
1727,6.791,1115.33,5.83,-0.06
706,3.44434,119.172,18.88,-0.02
1732,7.17369,1430.42,36.52,0.16
6466,14.7173,4966.77,17.45,0.02
2028,24.7721,4912.0,39.1,0.01
6317,20.5279,4953.79,27.38,-0.45
4607,7.63426,1526.41,10.06,0.26
4045,15.0711,4984.71,12.74,-0.22
6295,8.60938,2175.19,6.52,0.15
3293,24.4258,4973.63,27.35,0.23
3840,9.78657,3520.26,41.88,-0.19
2824,21.6823,4945.08,35.93,0.05
186,11.8317,4979.81,6.99,-0.36
4328,7.11408,1344.47,34.19,0.18
129,17.5453,4985.74,6.34,-0.32
2981,17.8978,4925.54,33.27,-0.39
774,13.7593,4773.74,36.63,0.1
5742,4.04896,268.976,10.21,-0.43
5614,23.1171,4987.04,6.07,-0.03
2389,19.4824,4985.72,12.28,0.35
1822,20.9592,4987.05,11.31,0.02
3433,16.057,4985.74,12.34,-0.26
1014,21.2726,4886.43,37.93,-0.26
4985,23.1485,4914.98,36.18,-0.5
6722,14.2886,4803.99,26.52,0.47
7331,19.5178,4859.24,43.36,-0.5
7229,13.4908,4935.2,20.92,-0.25
5624,7.4757,1690.21,9.56,-0.36
5896,15.0456,4650.72,34.74,-0.02
532,4.37101,355.917,18.96,-0.43
3472,16.5356,4816.72,38.23,-0.08
3704,23.5171,4986.77,11.01,0.41
7480,18.6986,4954.59,34.27,0.0
5503,6.01928,1025.43,42.4,0.37
1853,3.51092,168.678,40.62,-0.07
2116,8.34763,2014.85,13.71,0.38
4625,22.152,4927.72,36.86,-0.28
5873,11.5843,4545.96,14.11,0.2
4069,24.1908,4899.04,36.58,0.32
2296,12.4293,4807.01,18.48,0.32
7233,17.9155,4851.34,39.68,-0.48
7221,13.6327,4951.47,23.7,-0.12
4486,22.4792,4986.94,14.8,0.08
4161,9.88104,3388.66,16.91,0.39
1682,18.5726,4986.79,17.14,-0.15
6473,17.8317,4814.6,35.68,-0.18
7271,6.39726,1066.22,37.96,0.36
2535,12.7534,4777.57,22.51,0.24
6388,5.99344,829.396,19.68,-0.16
3263,4.80028,472.869,42.08,0.05
5607,17.7872,4986.15,9.69,0.19
5068,24.2436,4985.92,17.17,-0.28
2953,4.71462,383.22,21.23,0.09
1718,21.8446,4770.32,44.42,0.0
5283,7.17724,1645.96,25.42,-0.4
5556,9.29322,3415.06,15.02,-0.41
6795,18.0927,4985.34,13.74,0.36
7740,13.2646,4981.42,14.17,-0.42
402,19.2751,4985.84,14.09,-0.05
2536,21.548,4760.46,44.67,0.1
2364,19.6017,4981.61,20.92,0.12
4950,23.2679,4986.22,10.7,-0.32
2915,17.9641,4986.4,19.14,-0.47
4214,22.2283,4984.26,23.37,0.11
2117,7.76164,2122.53,25.28,-0.43
4264,3.92289,236.667,38.21,0.48
4373,3.68572,157.471,10.56,-0.19
6514,23.7933,4987.1,5.38,0.07
7528,7.95955,1950.15,36.05,0.3
5005,21.0494,4837.28,42.95,-0.27
7288,15.4566,4966.47,25.81,-0.21
2978,19.4766,4986.34,8.72,-0.15
2922,6.32743,878.031,7.69,0.32
6350,19.1656,4835.46,42.24,-0.22
5374,13.4679,4923.53,25.29,-0.47
6941,10.0578,3945.21,21.46,-0.36
5495,10.2792,3778.86,23.45,0.09
2485,9.84944,3551.89,21.87,-0.2
4091,18.8717,4986.35,12.75,0.37
6811,8.61492,2274.3,5.53,-0.08
5799,24.9387,4973.5,22.99,0.14
3352,20.3457,4979.56,30.79,-0.11
6224,7.32224,1544.53,31.07,0.24
1574,3.84802,239.26,33.82,-0.22
1066,16.3148,4960.23,21.58,-0.36
3179,23.3741,4984.56,14.68,0.06
3930,16.4416,4702.29,40.13,0.46
2228,15.188,4603.35,38.84,0.01
4175,3.78321,242.98,30.33,-0.48
2155,16.3162,4984.86,26.12,-0.32
5482,8.79145,2360.04,9.89,0.35
2655,19.4382,4982.95,19.55,0.26
1960,21.3401,4656.31,44.15,0.13
4546,24.9027,4943.25,31.49,0.34
7050,13.5143,4664.57,33.75,0.43
2548,3.10134,84.6922,26.99,0.24
669,3.43352,145.964,19.65,-0.36
4852,15.9121,4796.52,29.06,0.03
2022,5.15667,476.635,5.79,0.46
2151,3.20828,122.365,31.3,-0.36
1294,17.6801,4875.52,33.51,0.11
590,15.174,4525.99,39.65,-0.4
4930,13.6689,4874.83,26.92,-0.34
6024,11.1464,3654.61,42.07,0.15
4411,3.48644,175.943,33.54,-0.27
2339,12.5618,4945.54,13.79,0.46
3023,18.6614,4922.1,35.09,0.19
613,14.2925,4838.26,24.18,-0.21
1704,10.8402,4580.19,23.42,-0.46
5497,9.71582,3235.58,37.68,0.3
28,23.0305,4987.06,9.4,0.35
7497,21.3912,4980.4,26.63,-0.44
3876,12.6448,4485.86,35.38,0.19
2402,3.26425,134.483,36.34,0.1
1752,21.3269,4921.9,33.5,0.3
5760,18.3114,4986.01,21.05,0.16
120,14.8077,4930.8,29.43,-0.2
6472,3.22122,139.924,39.04,-0.35
3724,15.4115,4811.46,35.43,-0.33
492,14.6077,4985.47,16.2,0.12
3738,25.1889,4975.08,21.95,-0.25
5478,19.7295,4986.25,11.23,0.32
1824,5.72949,831.201,27.66,-0.36
6724,17.903,4985.82,9.46,0.34
4409,6.08871,1070.37,40.8,-0.12
6865,17.1318,4931.34,30.4,0.37
330,13.7146,4975.03,15.64,0.01
5892,10.4262,3727.49,32.42,0.43
2512,23.2823,4969.28,28.06,-0.48
4891,23.0533,4986.67,18.44,-0.25
443,9.34656,3136.89,40.88,0.05
3167,9.06467,2870.31,26.39,-0.06
7759,21.7758,4977.65,27.36,-0.34
1517,20.9069,4986.93,8.0,0.31
4731,13.4543,4983.41,8.06,0.29
572,17.404,4985.83,6.89,-0.42
5671,10.8683,4736.16,10.18,-0.36
1975,25.3813,4829.77,43.4,0.32
3733,23.7755,4986.3,16.0,-0.09
6677,6.12955,841.592,13.19,-0.1
7757,15.7835,4983.84,11.38,0.26
2951,13.6943,4887.33,31.77,-0.29
947,23.936,4983.04,16.76,0.19
7749,11.1834,4314.49,22.15,0.0
5918,5.58997,761.409,15.14,-0.42
1244,15.3955,4927.86,34.94,0.41
3896,19.8209,4841.41,42.87,-0.27
150,8.24163,2279.01,16.61,-0.28
839,14.5158,4984.34,16.05,-0.1
1485,4.92117,415.762,16.97,0.36
4108,13.9751,4900.53,17.45,-0.2
7008,3.68911,152.676,10.91,0.48
6222,24.5597,4950.64,29.24,0.0
5809,19.4018,4935.25,30.61,-0.5
3723,11.0025,4021.98,34.86,0.16
1347,7.09142,1310.26,22.24,0.19
3080,17.8032,4985.19,12.44,0.11
145,21.0674,4980.24,24.22,-0.29
4908,10.5828,4300.71,24.5,-0.49
7868,9.51394,3297.29,34.66,0.4
425,3.12192,73.7373,18.93,0.26
3912,5.30641,661.781,17.41,-0.44
7082,17.0063,4985.23,12.3,-0.43
3424,21.9881,4987.02,13.29,0.04
3824,5.13166,507.042,20.38,0.44
4649,20.2666,4986.83,10.91,0.25
4224,23.9807,4986.87,11.3,-0.21
3773,7.5753,1862.83,26.55,-0.29
6215,24.5118,4972.26,23.08,0.21
2260,17.5934,4796.49,44.8,0.37
4809,13.1459,4983.43,7.63,0.02
3986,24.3414,4971.91,21.25,0.32
561,9.64469,3261.36,44.4,0.42
3480,9.79381,3628.72,15.94,-0.25
5900,3.62275,128.18,5.55,0.09
6792,16.0064,4984.83,21.05,0.25
3334,7.66583,1545.24,5.11,0.4
2366,15.2416,4850.84,39.13,-0.15
2373,17.0927,4985.53,21.75,0.0
3175,24.327,4943.55,30.26,0.43
6154,20.0284,4984.6,22.62,-0.47
1341,18.4548,4780.65,41.0,-0.21
6664,24.5997,4986.84,14.85,-0.09
2365,23.2673,4986.79,7.47,-0.14
4703,13.6785,4983.57,9.55,0.06
3398,18.7589,4938.86,33.07,0.14
7672,19.079,4985.07,21.7,-0.23
295,23.1904,4983.03,20.98,0.08
6846,23.9293,4987.15,7.71,0.4
2520,5.48451,791.638,40.01,-0.19
7715,17.1399,4887.15,34.79,0.42
1397,6.22823,1011.1,34.05,0.08
2304,15.9532,4985.01,6.24,-0.19
5640,16.0977,4969.05,16.73,0.38
454,20.2444,4950.75,31.28,-0.38
2770,5.21669,496.96,13.45,0.0
5545,14.0444,4977.59,13.84,0.17
3456,15.0574,4530.76,39.07,0.33
5403,6.66492,1301.7,19.25,-0.43
674,5.63177,760.197,40.03,0.0
2201,16.3957,4986.64,19.1,-0.25
1193,18.3166,4981.39,17.59,0.02
7514,5.79639,797.288,8.44,-0.37
318,5.03296,586.46,40.5,0.35
453,22.684,4944.9,29.65,0.31
668,18.3239,4986.74,22.9,-0.16
3203,24.7836,4983.0,23.0,0.25
5891,20.5192,4971.67,30.81,0.39
1614,16.4111,4984.64,16.15,0.31
3494,16.6767,4985.56,16.48,-0.08
7141,10.8362,3886.17,40.92,0.03
5885,4.24442,311.895,40.13,0.09
3345,20.2417,4986.82,7.93,-0.11
1474,13.4836,4969.41,18.6,-0.29
76,13.2179,4982.16,13.5,0.15
7088,6.71996,1096.85,17.58,0.07
4491,23.007,4979.51,23.65,-0.28
7840,9.56983,3132.8,28.26,0.41
5761,23.7164,4986.96,11.35,-0.17
938,23.3834,4969.29,28.0,-0.22
4250,19.8821,4906.22,28.98,0.49
3186,3.9339,230.368,25.15,0.14
2654,23.0755,4958.98,35.06,0.37
7432,3.54811,127.158,11.41,-0.08
3354,18.8622,4986.39,9.99,-0.39
2188,10.5656,3703.52,38.78,0.45
6174,7.04577,1377.05,29.41,0.02
3887,7.52788,1607.74,10.69,-0.19
7191,9.2787,3330.72,20.56,-0.33
2287,16.7042,4985.48,13.94,-0.01
1377,11.5387,4348.48,41.15,0.12
6480,9.44783,3111.52,14.68,-0.13
6962,4.24335,242.813,9.33,0.02
7591,18.5668,4984.65,14.72,0.46
2268,3.8434,236.578,38.91,0.1
3873,10.1066,3614.6,28.05,0.28
949,20.2119,4986.88,11.9,0.08
4086,18.3472,4986.49,12.27,0.21
6164,14.5506,4845.73,30.24,0.06
1584,17.7906,4985.78,13.46,-0.43
5294,19.3415,4899.15,38.1,-0.12
2300,18.1323,4844.72,39.34,-0.23
755,5.28212,513.343,11.0,0.08
1325,4.07691,228.26,23.88,0.13
5409,8.75264,2370.46,12.74,0.48
1207,3.62582,137.265,11.22,0.15
5496,14.2947,4614.45,42.28,0.08
2087,7.94597,1863.97,24.34,0.47
5099,24.2795,4871.57,38.62,0.07
6067,23.6966,4986.37,15.57,-0.21
6553,18.62,4986.19,8.34,-0.12
7967,18.0836,4986.15,11.31,0.43
7623,6.33088,1229.27,26.89,-0.45
1981,11.34,4685.85,10.42,0.12
4184,24.3836,4987.07,13.84,-0.13
5164,15.4502,4984.88,18.52,0.19
135,11.2736,4335.15,22.73,-0.03
5522,12.0136,4465.99,37.34,0.35
7570,9.97703,3540.65,33.68,0.27
3576,23.3459,4946.96,31.23,-0.49
3402,18.0485,4979.1,23.73,-0.35
850,16.8928,4976.26,24.41,-0.11
2923,10.3457,3669.22,40.37,-0.02
5392,14.0375,4983.82,11.01,0.4
686,23.6086,4986.41,13.75,-0.35
1173,3.74683,169.334,11.96,-0.21
4730,9.24456,2738.75,7.8,0.04
1469,11.4776,4679.68,22.01,-0.31
2525,20.6648,4986.33,13.69,0.2
3503,4.50791,343.631,29.54,0.13
2436,18.0893,4958.57,33.39,-0.02
1275,6.69701,1146.19,26.39,-0.03
5366,14.6257,4825.23,44.22,-0.2
3967,17.0263,4933.38,34.22,-0.15
7272,21.9135,4962.18,28.39,-0.08
3826,14.5108,4834.84,30.41,0.3
6409,13.3739,4573.27,42.21,-0.17
387,22.4103,4986.15,16.49,-0.48
6966,21.4616,4986.81,10.21,-0.36
3235,13.5727,4901.27,17.71,0.36
411,7.97853,2087.98,11.87,-0.38
4111,5.70456,629.195,6.58,0.14
2254,24.0563,4920.51,27.4,-0.23
689,8.56074,2586.19,38.87,0.08
716,13.9336,4877.07,32.65,-0.32
407,8.6854,2698.26,17.98,-0.35
1330,9.06694,2806.45,24.84,0.48
5610,6.39243,1175.62,29.5,-0.4
5847,14.4762,4830.13,41.16,-0.25
7303,17.8485,4816.84,41.55,-0.46
7699,7.7189,2061.95,16.54,-0.47
1184,8.82907,2565.85,23.11,0.14
5349,17.4952,4985.97,13.44,-0.46
976,17.8757,4939.47,24.72,0.0
3626,17.6147,4984.39,18.28,0.14
7525,4.72787,367.106,15.59,0.26
6107,9.13351,2943.72,34.92,0.35
4296,5.46443,638.992,26.26,0.46
6042,14.5197,4751.9,43.66,-0.21
5922,11.5287,4703.53,23.51,-0.36
4444,9.70953,3360.0,25.64,0.04
2502,6.71615,1341.39,43.45,0.27
5262,10.8963,4132.47,40.25,-0.16
5087,14.4909,4778.66,42.34,-0.31
1177,17.149,4984.97,15.55,-0.17
6192,20.5578,4986.83,5.76,0.38
6823,12.43,4286.19,35.66,0.04
3250,6.25649,840.924,7.1,0.15
280,13.4689,4980.02,10.63,-0.23
4311,22.0069,4956.43,37.63,0.02
3025,17.2936,4985.76,8.15,-0.21
395,4.76834,428.335,23.53,-0.17
6441,15.9201,4814.81,44.87,-0.44
4612,13.267,4757.65,26.11,0.05
5528,14.9361,4858.87,34.55,-0.28
7463,21.6295,4962.36,36.21,-0.22
2285,10.4564,3893.56,21.41,0.5
3372,18.2885,4910.02,39.13,0.35
7717,20.0104,4986.58,8.98,-0.13
3524,5.71657,793.127,34.47,-0.07
2465,5.38429,808.893,39.77,-0.43
5171,17.1583,4985.22,19.88,0.06
6345,17.763,4986.09,6.53,-0.32
2368,16.8429,4984.89,8.29,0.15
7769,8.77419,2516.55,30.69,0.09
5833,11.2145,4735.29,12.38,-0.27
626,19.826,4974.11,31.38,0.45
7030,15.2373,4985.21,17.25,-0.14
3112,7.18465,1472.38,23.5,0.15
2771,19.3971,4816.65,41.09,0.42
3869,14.5785,4845.57,21.44,0.4
4221,6.54208,1092.37,34.12,0.09
6179,14.4496,4984.65,5.27,-0.49
2238,7.17202,1497.96,34.03,0.05
5433,16.9373,4979.51,23.12,-0.09
1814,24.5688,4905.98,37.53,-0.5
5000,11.384,4745.4,13.95,-0.27
1001,16.8822,4982.67,16.54,-0.26
2261,23.4497,4973.99,28.51,-0.41
1634,11.4375,4462.38,21.77,-0.07
4962,22.1738,4949.0,32.17,-0.12
599,23.8178,4987.16,5.69,-0.14
5963,12.3863,4845.92,16.1,0.4
4450,19.3457,4985.59,19.58,-0.37
413,14.5366,4983.11,13.72,0.36
2959,15.9094,4955.27,28.09,0.33
7822,11.3179,4543.76,29.69,-0.48
1023,24.9279,4986.82,9.31,0.22
3977,3.52492,176.727,39.23,0.26
1936,7.11275,1295.6,10.93,0.02
7770,10.5304,4222.46,21.48,-0.41
4299,6.8996,1294.4,22.49,-0.17
2774,17.9052,4986.03,9.31,-0.28
6646,6.00416,1007.97,39.03,-0.24
1953,22.3558,4986.83,6.22,-0.47
1638,23.8879,4704.2,44.6,0.25
4496,15.1031,4822.1,31.68,0.34
7434,13.147,4983.04,10.96,0.33
3111,11.255,4782.43,16.7,-0.32
398,15.8857,4984.87,5.55,0.42
1567,7.97925,2056.72,28.19,-0.26
6183,17.4704,4986.93,13.59,-0.04
3634,5.59575,698.314,26.96,-0.18
3678,14.7374,4827.41,35.18,-0.5
4043,8.69998,2534.33,44.57,0.13
2044,22.3247,4986.69,10.68,0.08
2905,8.75703,2580.63,18.06,-0.15
2027,16.2838,4901.3,33.33,0.17
5547,19.845,4985.95,11.8,0.37
997,14.187,4820.48,35.91,-0.21
5895,3.46697,135.859,21.04,0.48
1304,13.4376,4649.58,43.89,0.23
1413,23.9509,4830.96,38.12,0.26
3987,8.76801,2570.32,33.59,0.23
3332,17.7355,4986.24,13.79,0.14
157,22.8599,4913.3,36.42,0.12
5238,8.57381,2605.44,39.57,-0.13
5869,23.1753,4793.6,43.49,0.17
5727,18.1221,4965.83,32.48,-0.13
7992,4.47678,393.132,40.71,0.21
7132,3.63477,184.52,32.64,-0.09
4074,22.4416,4940.79,37.65,-0.1
3507,4.12543,237.422,19.48,0.05
7157,21.6487,4985.52,19.72,-0.38
7589,7.5267,1720.74,33.88,0.34
3000,15.5012,4960.73,26.61,0.29
6303,10.206,3640.26,39.28,0.46
1526,9.86235,3301.02,11.1,0.31
3598,6.7476,1359.49,37.76,-0.3
1318,20.7684,4777.56,44.05,0.4
2377,21.1746,4986.81,12.27,-0.1
3755,20.5376,4986.53,9.09,-0.13
6643,7.40996,1729.06,40.23,0.33
889,7.60855,1807.06,38.34,-0.12
1881,20.3145,4920.1,30.82,0.32
7830,4.09506,236.026,28.54,0.11
6501,3.14866,101.977,34.17,-0.07
6427,5.59452,659.327,19.04,0.47
5828,22.9385,4975.57,22.55,0.27
2556,15.0509,4984.16,12.81,-0.4
2425,14.5922,4983.84,14.51,-0.45
2210,9.35409,3067.81,32.72,0.07
1020,5.19234,588.178,25.12,-0.34
3303,20.9926,4907.21,38.01,0.19
2807,7.21905,1488.26,20.68,-0.2
7844,15.501,4701.78,37.22,0.49
4875,9.65524,3310.86,14.2,-0.12
7166,7.98675,1925.29,25.17,0.35
7972,10.7391,4190.17,34.47,-0.39
5432,6.91011,1364.2,10.73,-0.4
7439,23.8524,4975.44,22.93,0.34
3900,17.8894,4986.35,8.28,0.01
5016,5.19455,664.789,40.46,-0.02
3810,16.2446,4841.59,29.82,-0.1
1179,4.89525,444.262,26.57,0.01
5269,18.9402,4952.15,34.28,-0.49
1281,24.6536,4867.05,36.8,0.17
5043,10.9005,4350.84,44.75,-0.29
1550,13.6103,4584.15,39.26,-0.11
82,4.62505,338.087,16.02,0.15
4436,4.10939,332.535,37.07,-0.07
3760,16.4335,4824.04,33.68,0.24
3868,12.9671,4749.34,28.97,0.25
5184,21.6492,4986.09,14.44,0.16
5253,7.8603,1892.53,23.23,-0.02
3063,10.2599,3821.08,23.69,0.38
445,17.9129,4986.03,7.71,-0.42
117,10.1887,3670.07,26.69,-0.17
4518,11.3845,4660.78,15.8,-0.07
5920,9.53841,2949.11,7.63,0.27
7168,19.9214,4983.26,21.01,-0.46
5561,24.6496,4926.63,31.17,0.29
1626,4.27941,254.49,6.81,0.36
2990,19.3489,4977.88,27.39,-0.36
3880,10.18,3528.81,22.11,-0.02
5451,15.504,4984.66,8.29,0.48
7565,8.02833,2136.0,41.38,0.41
1280,25.1364,4975.14,20.43,0.05
4701,10.1501,3880.75,15.56,-0.19
3893,21.3094,4985.38,16.23,-0.07
5033,4.57214,453.529,31.85,-0.42
6990,21.3674,4986.2,16.4,-0.29
6586,24.8001,4903.19,38.11,-0.23
5354,23.9038,4987.07,11.19,0.17
4696,11.0225,3921.84,31.02,0.22
466,11.0321,4870.16,5.76,-0.33
7611,22.2976,4986.46,8.94,0.21
335,14.9992,4983.73,20.32,-0.27
1067,24.0111,4986.93,9.0,-0.03
6752,23.7089,4986.15,12.29,-0.07
382,18.8645,4713.87,43.54,0.14
6908,3.54502,144.466,32.03,-0.04
4794,20.7125,4980.43,25.46,-0.24
1312,8.94405,3073.62,39.03,-0.19
4946,14.3267,4734.22,43.72,-0.13
6770,18.247,4985.79,8.42,0.27
6864,18.7436,4964.3,35.09,-0.36
7301,8.02396,2192.71,30.98,-0.21
2444,22.5159,4974.06,30.51,-0.17
1811,21.5732,4981.97,22.66,-0.26
2687,21.4771,4983.73,16.89,0.19
5022,13.4849,4742.81,41.11,-0.22
461,5.02183,438.315,12.92,0.1
1632,17.2467,4985.31,6.56,0.3
3635,5.17387,661.76,38.01,0.0
3310,18.4422,4979.12,21.7,-0.48
4999,22.5126,4797.46,44.23,-0.29
4471,8.64764,2331.38,15.41,0.07
3387,8.79863,2996.34,25.18,-0.42
350,14.1917,4770.92,36.4,-0.05
826,25.0267,4986.08,13.63,0.04
4635,13.4187,4818.22,19.8,0.06
4448,15.1425,4852.92,35.82,0.46
6370,24.2366,4800.87,34.72,0.33
380,16.1914,4953.9,29.94,-0.13
1074,8.81936,2610.8,19.01,-0.13
7748,20.3637,4986.19,12.38,0.28
3938,4.9568,525.177,43.84,0.42
707,6.93063,1281.17,24.74,0.18
3314,25.285,4943.63,32.24,-0.45
3583,21.0107,4986.86,15.07,-0.07
3388,15.9586,4984.95,7.79,0.16
7520,6.55044,1005.22,16.43,0.26
3244,9.9247,3568.6,44.65,-0.31
762,8.67582,2609.93,36.63,-0.11
3714,18.7972,4985.63,13.56,0.21
5771,19.1142,4965.68,25.51,0.24
6593,8.83995,2679.32,40.52,0.39
892,24.0847,4882.04,39.65,0.29
3739,22.5217,4985.92,17.8,0.47
567,12.8514,4840.24,23.2,0.29
7213,5.02057,485.043,28.98,0.0
7502,8.3083,2374.67,6.22,-0.42
1086,9.01877,2933.99,12.57,-0.33
4434,5.83365,813.114,32.93,0.37
422,19.5919,4986.38,9.82,-0.06
3019,9.6566,3711.99,9.53,-0.4
7184,4.32512,399.866,43.97,-0.21
7077,7.9904,2053.66,28.61,0.24
4733,4.12113,293.993,19.91,-0.46
1915,15.0133,4974.14,23.18,-0.42
7624,22.6561,4980.2,22.32,-0.15
3166,4.04039,312.525,44.39,0.36
5114,24.531,4845.51,40.74,0.04
2266,3.84274,240.773,29.87,-0.3
6104,23.1932,4964.97,30.04,-0.07
7453,18.4951,4962.91,27.06,0.16
7115,18.1088,4884.05,38.06,-0.24
5187,13.1443,4949.01,12.94,0.1
3742,19.9426,4865.44,36.96,0.1
2325,6.53787,1097.54,31.65,-0.02
1945,22.0441,4983.03,20.47,-0.22
6758,9.3295,3095.68,31.81,0.27
479,3.97062,219.258,27.53,0.39
6577,11.5299,4563.61,23.65,-0.3
3918,24.4416,4900.58,38.85,0.23
2096,13.6312,4542.12,39.1,0.34
1857,14.6328,4983.36,20.3,-0.31
6686,23.3446,4986.7,10.89,-0.31
5388,4.23554,325.629,35.74,0.21
5516,15.211,4946.43,28.08,-0.08
7524,3.16472,90.3603,21.63,-0.14
4141,18.6348,4986.51,10.92,0.39
201,11.5526,4094.83,44.86,0.27
6608,24.8321,4952.81,33.72,0.21
5720,8.87014,2762.45,37.18,0.2
4342,20.8381,4868.97,42.76,-0.31
4490,25.2342,4945.18,38.76,-0.32
5596,4.81156,399.023,21.76,0.29
603,19.3565,4986.07,16.74,-0.41
6216,12.9061,4981.48,10.01,-0.01
297,7.67694,1615.04,17.96,0.18
3685,9.88915,3460.33,24.38,0.09
5684,4.40168,322.194,29.37,-0.06
4092,8.23352,1978.53,12.62,0.42
6003,14.4775,4925.19,28.49,-0.25
3496,18.2766,4985.44,8.45,0.34
3527,23.8906,4984.91,16.92,-0.33
7370,12.5747,4518.23,38.7,0.12
6119,13.8118,4983.46,12.12,0.45
3191,5.49707,573.311,10.28,0.08
3200,8.84375,2924.61,35.12,-0.2
2727,4.04985,252.181,24.98,-0.23
5784,15.3468,4973.58,26.76,-0.41
2749,7.02748,1611.45,36.96,-0.23
7215,18.5644,4986.04,10.57,-0.38
351,8.47408,2389.24,31.2,0.5
2054,20.8014,4984.14,18.97,0.06
5236,7.58197,1926.05,41.63,-0.14
4552,11.2425,4614.66,21.05,-0.23
4021,23.264,4848.84,35.6,0.21
2991,19.4375,4887.64,27.85,0.27
3519,11.6622,4340.46,32.23,0.43
2316,18.5757,4986.46,18.51,0.24
458,22.3972,4970.34,30.01,-0.45
4679,9.12864,2977.18,22.72,-0.06
4391,23.5591,4987.1,8.45,0.46
5185,13.1422,4664.39,35.35,-0.26
3786,18.4893,4985.43,18.02,-0.37
4053,19.0536,4928.19,42.5,-0.46
3555,13.1608,4707.48,37.69,-0.32
5153,20.9362,4986.51,11.95,-0.05
3944,24.1789,4978.98,21.54,-0.08
6425,14.5207,4984.22,7.69,0.09
7721,20.7497,4876.67,42.02,-0.27
7381,19.6515,4971.31,21.32,0.43
4931,22.2334,4973.94,24.81,-0.33
5093,13.6565,4920.34,15.94,0.26
4068,4.98964,553.61,11.92,-0.5
7960,25.0654,4953.75,27.48,0.2
2691,9.37513,3361.19,11.63,-0.39
4087,23.2891,4816.82,40.92,-0.09
7359,5.52129,664.715,25.91,-0.08
6014,16.9052,4984.17,8.95,0.28
5685,20.7437,4947.01,33.52,-0.32
2611,3.50325,176.953,42.76,-0.24
7102,5.93578,808.911,33.16,0.29
5182,24.8107,4987.1,7.54,0.2
2302,15.354,4965.2,18.91,0.18
2171,12.9881,4979.54,12.04,0.02
1839,16.6221,4984.99,9.08,0.19
470,15.3588,4819.76,30.38,-0.08
7719,6.14594,1224.36,42.76,-0.43
3983,11.3407,4483.45,27.77,-0.24
6624,6.33961,1030.69,39.53,0.12
5611,22.1668,4986.48,16.7,0.14
3585,7.03748,1460.62,27.76,-0.27
4604,8.21158,1981.52,15.44,0.48
156,8.91168,2530.0,14.97,0.48
2941,8.0709,1884.72,21.03,0.19
1689,13.7614,4722.62,41.77,-0.29
2352,25.4965,4924.15,38.55,-0.29
5448,17.9844,4985.14,12.8,0.5
4502,8.54999,2338.56,21.86,0.0
2504,14.2484,4832.2,39.33,-0.18
1479,18.3409,4880.17,37.58,0.08
6449,21.3019,4902.69,38.38,0.23
2765,4.68496,465.22,41.16,0.46
4843,23.2832,4978.82,18.62,-0.11
6117,14.292,4976.78,15.61,0.21
852,20.0132,4985.42,11.02,0.39
5872,7.61526,1670.04,24.45,-0.03
5952,23.0648,4964.72,31.37,0.47
3702,20.2632,4920.42,40.35,-0.49
4783,18.2996,4969.72,27.95,0.33
1802,12.6821,4622.22,44.5,-0.45
5162,4.77391,366.371,14.89,0.1
536,9.65406,3228.19,40.04,0.42
7499,16.6463,4977.41,23.03,-0.37
3942,12.3001,4410.58,35.83,0.14
4416,21.9608,4790.46,35.02,0.36
2519,9.55307,3034.71,14.63,0.16
5122,10.0813,3478.65,14.91,0.39
985,7.48582,1728.92,11.09,-0.39
6980,7.94327,2042.77,36.35,-0.17
2461,13.4311,4947.74,21.84,-0.45
2344,10.3251,3864.62,11.41,0.04
7226,8.86879,3110.45,34.37,-0.4
3412,8.72421,2478.04,27.87,0.36
198,21.674,4755.07,43.03,0.42
6408,7.84423,2145.21,13.43,-0.5
2618,3.43677,113.17,11.43,-0.12
2757,14.9033,4688.63,33.63,-0.04
770,11.4887,4461.03,41.07,-0.42
6301,12.6564,4965.45,15.51,0.4
125,15.9464,4982.55,18.75,-0.18
501,18.7005,4978.91,22.8,-0.29
3898,14.6409,4984.79,8.46,-0.22
277,13.2244,4982.34,9.15,0.43
6768,4.19895,268.776,10.94,-0.25
1448,15.8982,4984.08,12.93,-0.09
6259,13.3576,4727.94,28.86,-0.08
